family,n,acceptance_rate,ci_lower,ci_upper,prover_found_rate,median_list_size,median_copies
k-sparse (k=2),4,0.7600,0.6677,0.8331,1.0000,7.0,6000
k-sparse (k=2),5,0.6700,0.5731,0.7544,1.0000,2.0,6000
k-sparse (k=2),6,0.6100,0.5120,0.6998,1.0000,2.0,6000
k-sparse (k=2),7,0.7100,0.6146,0.7899,1.0000,2.0,6000
k-sparse (k=2),8,0.7300,0.6357,0.8073,1.0000,2.0,6000
k-sparse (k=2),9,0.7700,0.6785,0.8416,1.0000,2.0,6000
k-sparse (k=2),10,0.7800,0.6893,0.8500,1.0000,2.0,6000
k-sparse (k=2),11,0.7400,0.6463,0.8160,1.0000,2.0,6000
k-sparse (k=2),12,0.7500,0.6570,0.8245,1.0000,2.0,6000
k-sparse (k=2),13,0.7800,0.6893,0.8500,1.0000,2.0,6000
k-sparse (k=2),14,0.7800,0.6893,0.8500,1.0000,2.0,6000
k-sparse (k=2),15,0.7700,0.6785,0.8416,1.0000,2.0,6000
k-sparse (k=2),16,0.7600,0.6677,0.8331,1.0000,2.0,6000
k-sparse (k=4),4,0.8100,0.7222,0.8749,1.0000,16.0,6000
k-sparse (k=4),5,0.8700,0.7902,0.9224,1.0000,30.0,6000
k-sparse (k=4),6,0.7700,0.6785,0.8416,1.0000,14.0,6000
k-sparse (k=4),7,0.6500,0.5525,0.7364,1.0000,3.0,6000
k-sparse (k=4),8,0.6400,0.5424,0.7273,1.0000,3.0,6000
k-sparse (k=4),9,0.6600,0.5628,0.7454,1.0000,3.0,6000
k-sparse (k=4),10,0.6300,0.5322,0.7182,1.0000,3.0,6000
k-sparse (k=4),11,0.6300,0.5322,0.7182,1.0000,3.0,6000
k-sparse (k=4),12,0.6600,0.5628,0.7454,1.0000,3.0,6000
k-sparse (k=4),13,0.5900,0.4920,0.6813,1.0000,3.0,6000
k-sparse (k=4),14,0.6300,0.5322,0.7182,1.0000,3.0,6000
k-sparse (k=4),15,0.6100,0.5120,0.6998,1.0000,3.0,6000
k-sparse (k=4),16,0.7400,0.6463,0.8160,1.0000,3.0,6000
Sparse + noise,4,0.7800,0.6893,0.8500,1.0000,15.0,6000
Sparse + noise,5,0.4800,0.3846,0.5768,1.0000,4.0,6000
Sparse + noise,6,0.2600,0.1840,0.3537,1.0000,1.0,6000
Sparse + noise,7,0.1400,0.0853,0.2214,1.0000,1.0,6000
Sparse + noise,8,0.1600,0.1010,0.2442,1.0000,1.0,6000
Sparse + noise,9,0.1300,0.0776,0.2098,1.0000,1.0,6000
Sparse + noise,10,0.1300,0.0776,0.2098,1.0000,1.0,6000
Sparse + noise,11,0.1500,0.0931,0.2328,1.0000,1.0,6000
Sparse + noise,12,0.1800,0.1170,0.2667,1.0000,1.0,6000
Sparse + noise,13,0.2000,0.1334,0.2888,1.0000,1.0,6000
Sparse + noise,14,0.1600,0.1010,0.2442,1.0000,1.0,6000
Sparse + noise,15,0.2100,0.1417,0.2998,1.0000,1.0,6000
Sparse + noise,16,0.1500,0.0931,0.2328,1.0000,1.0,6000
Random Boolean,4,0.4800,0.3846,0.5768,1.0000,7.0,6000
Random Boolean,5,0.0100,0.0018,0.0545,1.0000,12.0,6000
Random Boolean,6,0.0000,0.0000,0.0370,1.0000,14.0,6000
Random Boolean,7,0.0000,0.0000,0.0370,1.0000,12.0,6000
Random Boolean,8,0.0000,0.0000,0.0370,0.9300,5.0,6000
Random Boolean,9,0.0000,0.0000,0.0370,0.3900,0.5,5500
Random Boolean,10,0.0000,0.0000,0.0370,0.0000,0.0,5000
Random Boolean,11,0.0000,0.0000,0.0370,0.0000,0.0,5000
Random Boolean,12,0.0000,0.0000,0.0370,0.0000,0.0,5000
Random Boolean,13,0.0000,0.0000,0.0370,0.0000,0.0,5000
Random Boolean,14,0.0000,0.0000,0.0370,0.0000,0.0,5000
Random Boolean,15,0.0000,0.0000,0.0370,0.0000,0.0,5000
Random Boolean,16,0.0000,0.0000,0.0370,0.0000,0.0,5000
