n,acceptance_pct,acc_ci_lo,acc_ci_hi,correctness_pct,corr_ci_lo,corr_ci_hi,median_list_size,median_postselection_rate,median_total_copies,median_total_time_s
4,100.0,96.3,100.0,100.0,96.3,100.0,1.0,0.4985,6000,0.3572
5,100.0,96.3,100.0,100.0,96.3,100.0,1.0,0.4992,6000,0.4062
6,100.0,96.3,100.0,100.0,96.3,100.0,1.0,0.4998,6000,0.4668
7,100.0,96.3,100.0,100.0,96.3,100.0,1.0,0.4960,6000,0.5516
8,100.0,96.3,100.0,100.0,96.3,100.0,1.0,0.5010,6000,0.6892
9,100.0,96.3,100.0,100.0,96.3,100.0,1.0,0.4985,6000,0.9201
10,100.0,96.3,100.0,100.0,96.3,100.0,1.0,0.5010,6000,1.3352
11,100.0,96.3,100.0,100.0,96.3,100.0,1.0,0.5010,6000,2.1395
12,100.0,96.3,100.0,100.0,96.3,100.0,1.0,0.5015,6000,3.8014
13,100.0,96.3,100.0,100.0,96.3,100.0,1.0,0.5022,6000,9.0659
14,100.0,96.3,100.0,100.0,96.3,100.0,1.0,0.5002,6000,73.6440
15,100.0,96.3,100.0,100.0,96.3,100.0,1.0,0.5010,6000,946.4103
16,100.0,96.3,100.0,100.0,96.3,100.0,1.0,0.4980,6000,1202.7859
